Date Saved,2025/12/04 20:18:11
Title,SL_099_02°_Over

Measuring Mode,Ambient
Viewing Angle [°],2
CCT [K],Over
⊿uv,Over
Illuminance [lx],5.7

Peak Wavelength [nm],470
Tristimulus Value X,3.4613
Tristimulus Value Y,5.6880
Tristimulus Value Z,19.1728
CIE1931 x,0.1222
CIE1931 y,0.2008
CIE1931 z,0.6770
CIE1976 u',0.0946
CIE1976 v',0.3499
Dominant Wavelength [nm],483
Purity [%],82.7
PPFD [umolm⁻²s⁻¹],0.1
CRI Ra,Over
CRI R1,Over
CRI R2,Over
CRI R3,Over
CRI R4,Over
CRI R5,Over
CRI R6,Over
CRI R7,Over
CRI R8,Over
CRI R9,Over
CRI R10,Over
CRI R11,Over
CRI R12,Over
CRI R13,Over
CRI R14,Over
CRI R15,Over
TM-30 Rf,Over
TM-30 Rg,Over
SSIt,Under
SSId,Under
SSI1,---
SSI2,---
TLCI,Over
TLMF,---

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 410[nm],0.000000000000
Spectral Data 415[nm],0.000000000000
Spectral Data 420[nm],0.000000000000
Spectral Data 425[nm],0.000000000000
Spectral Data 430[nm],0.000000105265
Spectral Data 435[nm],0.000007281918
Spectral Data 440[nm],0.000032542070
Spectral Data 445[nm],0.000081366292
Spectral Data 450[nm],0.000167242208
Spectral Data 455[nm],0.000303737586
Spectral Data 460[nm],0.000484997552
Spectral Data 465[nm],0.000657776545
Spectral Data 470[nm],0.000728453975
Spectral Data 475[nm],0.000666309847
Spectral Data 480[nm],0.000533274550
Spectral Data 485[nm],0.000399639481
Spectral Data 490[nm],0.000304660760
Spectral Data 495[nm],0.000253285019
Spectral Data 500[nm],0.000236803753
Spectral Data 505[nm],0.000239039538
Spectral Data 510[nm],0.000242072187
Spectral Data 515[nm],0.000231129321
Spectral Data 520[nm],0.000203951320
Spectral Data 525[nm],0.000169810999
Spectral Data 530[nm],0.000133791560
Spectral Data 535[nm],0.000099923149
Spectral Data 540[nm],0.000073404983
Spectral Data 545[nm],0.000053183485
Spectral Data 550[nm],0.000037711427
Spectral Data 555[nm],0.000026602556
Spectral Data 560[nm],0.000018369528
Spectral Data 565[nm],0.000011851551
Spectral Data 570[nm],0.000007784583
Spectral Data 575[nm],0.000004893128
Spectral Data 580[nm],0.000001357150
Spectral Data 585[nm],0.000000012762
Spectral Data 590[nm],0.000000000000
Spectral Data 595[nm],0.000000000000
Spectral Data 600[nm],0.000000000000
Spectral Data 605[nm],0.000000000000
Spectral Data 610[nm],0.000000000000
Spectral Data 615[nm],0.000000000000
Spectral Data 620[nm],0.000000000000
Spectral Data 625[nm],0.000000000000
Spectral Data 630[nm],0.000000000000
Spectral Data 635[nm],0.000000000000
Spectral Data 640[nm],0.000000000000
Spectral Data 645[nm],0.000000000000
Spectral Data 650[nm],0.000000000000
