Date Saved,12/4/25 20:17,3,4,5
Title,SL_083_02°_3001K,,,
,0.147506957,,,
Measuring Mode,Ambient,,,
Viewing Angle [°],2,,,
CCT [K],3001,,,
⊿uv,-0.0025,,,
Illuminance [lx],4420,,,
,,,,
Peak Wavelength [nm],604,,,
Tristimulus Value X,4827.9407,,,
Tristimulus Value Y,4419.8994,,,
Tristimulus Value Z,1893.9331,,,
CIE1931 x,0.4333,,,
CIE1931 y,0.3967,,,
CIE1931 z,0.17,,,
CIE1976 u',0.2514,,,
CIE1976 v',0.5179,,,
Dominant Wavelength [nm],584,,,
Purity [%],49.1,,,
PPFD [umolm⁻²s⁻¹],63.3,,,
CRI Ra,83.1,,,
CRI R1,82.5,,,
CRI R2,93.2,,,
CRI R3,94.5,,,
CRI R4,80.3,,,
CRI R5,82.9,,,
CRI R6,91.6,,,
CRI R7,81.3,,,
CRI R8,58.8,,,
CRI R9,9.4,,,
CRI R10,84,,,
CRI R11,79.7,,,
CRI R12,74.7,,,
CRI R13,85.3,,,
CRI R14,97.9,,,
CRI R15,75.4,,,
TM-30 Rf,85,,,
TM-30 Rg,96,,,
SSIt,75,,,
SSId,52,,,
SSI1,---,,,
SSI2,---,,,
TLCI,69,,,
TLMF,---,,,
,,,,
Spectral Data 380[nm],0.001125276,,,
Spectral Data 385[nm],0.00112886,,,
Spectral Data 390[nm],0.001119901,,,
Spectral Data 395[nm],0.000871028,,,
Spectral Data 400[nm],0.000661279,,,
Spectral Data 405[nm],0.000776807,,,
Spectral Data 410[nm],0.001119945,,,
Spectral Data 415[nm],0.00146733,,,
Spectral Data 420[nm],0.002135219,,,
Spectral Data 425[nm],0.003645641,,,
Spectral Data 430[nm],0.00636494,,,
Spectral Data 435[nm],0.011207532,,,
Spectral Data 440[nm],0.019456942,,,
Spectral Data 445[nm],0.031280823,,,
Spectral Data 450[nm],0.04272569,,,
Spectral Data 455[nm],0.047345635,,,
Spectral Data 460[nm],0.043476883,,,
Spectral Data 465[nm],0.035728507,,,
Spectral Data 470[nm],0.028449371,,,
Spectral Data 475[nm],0.023299396,,,
Spectral Data 480[nm],0.020576458,,,
Spectral Data 485[nm],0.020139765,,,
Spectral Data 490[nm],0.021797929,,,
Spectral Data 495[nm],0.024958642,,,
Spectral Data 500[nm],0.028728344,,,
Spectral Data 505[nm],0.032253142,,,
Spectral Data 510[nm],0.035281692,,,
Spectral Data 515[nm],0.037839137,,,
Spectral Data 520[nm],0.04020052,,,
Spectral Data 525[nm],0.042834848,,,
Spectral Data 530[nm],0.045542344,,,
Spectral Data 535[nm],0.047657277,,,
Spectral Data 540[nm],0.049009632,,,
Spectral Data 545[nm],0.050795197,,,
Spectral Data 550[nm],0.053731274,,,
Spectral Data 555[nm],0.057035308,,,
Spectral Data 560[nm],0.060692575,,,
Spectral Data 565[nm],0.0648323,,,
Spectral Data 570[nm],0.069515601,,,
Spectral Data 575[nm],0.074221633,,,
Spectral Data 580[nm],0.07867641,,,
Spectral Data 585[nm],0.082888082,,,
Spectral Data 590[nm],0.086581856,,,
Spectral Data 595[nm],0.089467242,,,
Spectral Data 600[nm],0.091215484,,,
Spectral Data 605[nm],0.091618232,,,
Spectral Data 610[nm],0.090718701,,,
Spectral Data 615[nm],0.088422723,,,
Spectral Data 620[nm],0.085019872,,,
Spectral Data 625[nm],0.080843084,,,
Spectral Data 630[nm],0.076051049,,,
Spectral Data 635[nm],0.070554316,,,
Spectral Data 640[nm],0.064705573,,,
Spectral Data 645[nm],0.058728293,,,
Spectral Data 650[nm],0.05276205,,,
Spectral Data 655[nm],0.046863779,,,
Spectral Data 660[nm],0.041256435,,,
Spectral Data 665[nm],0.036044795,,,
Spectral Data 670[nm],0.031407312,,,
Spectral Data 675[nm],0.027111452,,,
Spectral Data 680[nm],0.023160201,,,
Spectral Data 685[nm],0.019802416,,,
Spectral Data 690[nm],0.017065626,,,
Spectral Data 695[nm],0.014620688,,,
Spectral Data 700[nm],0.012461649,,,
Spectral Data 705[nm],0.010604182,,,
Spectral Data 710[nm],0.009009096,,,
Spectral Data 715[nm],0.007800113,,,
Spectral Data 720[nm],0.006420456,,,
Spectral Data 725[nm],0.005120829,,,
Spectral Data 730[nm],0.004609365,,,
Spectral Data 735[nm],0.003890575,,,
Spectral Data 740[nm],0.002780357,,,
Spectral Data 745[nm],0.00207938,,,
Spectral Data 750[nm],0.001886587,,,
Spectral Data 755[nm],0.001541882,,,
Spectral Data 760[nm],0.000732032,,,
Spectral Data 765[nm],0.001336133,,,
Spectral Data 770[nm],0.000432307,,,
Spectral Data 775[nm],6.11826E-05,,,
Spectral Data 780[nm],0.000348607,,,
,,,,
Spectral Data 380[nm],0.001213925,,,
Spectral Data 381[nm],0.001135662,,,
Spectral Data 382[nm],0.001078595,,,
Spectral Data 383[nm],0.001065311,,,
Spectral Data 384[nm],0.001087652,,,
Spectral Data 385[nm],0.001127118,,,
Spectral Data 386[nm],0.001165199,,,
Spectral Data 387[nm],0.001185764,,,
Spectral Data 388[nm],0.001186788,,,
Spectral Data 389[nm],0.001171424,,,
Spectral Data 390[nm],0.001142836,,,
Spectral Data 391[nm],0.001103966,,,
Spectral Data 392[nm],0.001056334,,,
Spectral Data 393[nm],0.001000888,,,
Spectral Data 394[nm],0.000938576,,,
Spectral Data 395[nm],0.000870812,,,
Spectral Data 396[nm],0.000802141,,,
Spectral Data 397[nm],0.0007385,,,
Spectral Data 398[nm],0.000685843,,,
Spectral Data 399[nm],0.000649515,,,
Spectral Data 400[nm],0.000630419,,,
Spectral Data 401[nm],0.000627385,,,
Spectral Data 402[nm],0.000639229,,,
Spectral Data 403[nm],0.00066481,,,
Spectral Data 404[nm],0.000703359,,,
Spectral Data 405[nm],0.000754295,,,
Spectral Data 406[nm],0.000817035,,,
Spectral Data 407[nm],0.000890679,,,
Spectral Data 408[nm],0.000971356,,,
Spectral Data 409[nm],0.001053577,,,
Spectral Data 410[nm],0.001131837,,,
Spectral Data 411[nm],0.001201204,,,
Spectral Data 412[nm],0.001262654,,,
Spectral Data 413[nm],0.001320651,,,
Spectral Data 414[nm],0.001379702,,,
Spectral Data 415[nm],0.001444411,,,
Spectral Data 416[nm],0.001520491,,,
Spectral Data 417[nm],0.001614359,,,
Spectral Data 418[nm],0.001732448,,,
Spectral Data 419[nm],0.001880997,,,
Spectral Data 420[nm],0.002063795,,,
Spectral Data 421[nm],0.002282935,,,
Spectral Data 422[nm],0.002540476,,,
Spectral Data 423[nm],0.002838463,,,
Spectral Data 424[nm],0.003178032,,,
Spectral Data 425[nm],0.003559674,,,
Spectral Data 426[nm],0.003983892,,,
Spectral Data 427[nm],0.004451471,,,
Spectral Data 428[nm],0.004969051,,,
Spectral Data 429[nm],0.005547839,,,
Spectral Data 430[nm],0.006199108,,,
Spectral Data 431[nm],0.006934121,,,
Spectral Data 432[nm],0.007763951,,,
Spectral Data 433[nm],0.008699514,,,
Spectral Data 434[nm],0.00975172,,,
Spectral Data 435[nm],0.010930859,,,
Spectral Data 436[nm],0.012248257,,,
