Date Saved,2025/12/04 20:18:06
Title,SL_094_02°_3354K

Measuring Mode,Ambient
Viewing Angle [°],2
CCT [K],3354
⊿uv,0.0040
Illuminance [lx],3570

Peak Wavelength [nm],595
Tristimulus Value X,3674.8914
Tristimulus Value Y,3568.6100
Tristimulus Value Z,1538.8876
CIE1931 x,0.4184
CIE1931 y,0.4063
CIE1931 z,0.1752
CIE1976 u',0.2378
CIE1976 v',0.5195
Dominant Wavelength [nm],580
Purity [%],47.6
PPFD [umolm⁻²s⁻¹],47.9
CRI Ra,78.6
CRI R1,75.5
CRI R2,87.0
CRI R3,96.1
CRI R4,75.0
CRI R5,75.0
CRI R6,82.5
CRI R7,82.8
CRI R8,54.6
CRI R9,-10.4
CRI R10,69.4
CRI R11,71.6
CRI R12,57.0
CRI R13,78.1
CRI R14,97.9
CRI R15,67.5
TM-30 Rf,82
TM-30 Rg,92
SSIt,72
SSId,54
SSI1,---
SSI2,---
TLCI,63
TLMF,---

Spectral Data 380[nm],0.000842446228
Spectral Data 385[nm],0.000832178688
Spectral Data 390[nm],0.000850172713
Spectral Data 395[nm],0.000749384286
Spectral Data 400[nm],0.000601018255
Spectral Data 405[nm],0.000604257861
Spectral Data 410[nm],0.000831035490
Spectral Data 415[nm],0.001190486248
Spectral Data 420[nm],0.001831674832
Spectral Data 425[nm],0.003124005394
Spectral Data 430[nm],0.005398472771
Spectral Data 435[nm],0.009304082021
Spectral Data 440[nm],0.015779905021
Spectral Data 445[nm],0.025133434683
Spectral Data 450[nm],0.034455664456
Spectral Data 455[nm],0.038570541888
Spectral Data 460[nm],0.035764254630
Spectral Data 465[nm],0.029462609440
Spectral Data 470[nm],0.023295050487
Spectral Data 475[nm],0.018817953765
Spectral Data 480[nm],0.016269294545
Spectral Data 485[nm],0.015512198210
Spectral Data 490[nm],0.016529042274
Spectral Data 495[nm],0.018984740600
Spectral Data 500[nm],0.022221237421
Spectral Data 505[nm],0.025581529364
Spectral Data 510[nm],0.028775997460
Spectral Data 515[nm],0.031564716250
Spectral Data 520[nm],0.034152030945
Spectral Data 525[nm],0.037131469697
Spectral Data 530[nm],0.040306106210
Spectral Data 535[nm],0.042751699686
Spectral Data 540[nm],0.044105362147
Spectral Data 545[nm],0.045586913824
Spectral Data 550[nm],0.048029139638
Spectral Data 555[nm],0.050581883639
Spectral Data 560[nm],0.053246416152
Spectral Data 565[nm],0.056093126535
Spectral Data 570[nm],0.059066284448
Spectral Data 575[nm],0.061809774488
Spectral Data 580[nm],0.064099729061
Spectral Data 585[nm],0.065987065434
Spectral Data 590[nm],0.067316077650
Spectral Data 595[nm],0.067807070911
Spectral Data 600[nm],0.067363098264
Spectral Data 605[nm],0.066092863679
Spectral Data 610[nm],0.064158327878
Spectral Data 615[nm],0.061662215739
Spectral Data 620[nm],0.058597255498
Spectral Data 625[nm],0.054996885359
Spectral Data 630[nm],0.051113069057
Spectral Data 635[nm],0.047007683665
Spectral Data 640[nm],0.042770657688
Spectral Data 645[nm],0.038467630744
Spectral Data 650[nm],0.034279581159
Spectral Data 655[nm],0.030215756968
Spectral Data 660[nm],0.026267725974
Spectral Data 665[nm],0.022443844005
Spectral Data 670[nm],0.019005021080
Spectral Data 675[nm],0.016177117825
Spectral Data 680[nm],0.013966083527
Spectral Data 685[nm],0.012202297337
Spectral Data 690[nm],0.010853854008
Spectral Data 695[nm],0.009576615877
Spectral Data 700[nm],0.008339705877
Spectral Data 705[nm],0.007182152476
Spectral Data 710[nm],0.006147777196
Spectral Data 715[nm],0.005358265247
Spectral Data 720[nm],0.004412490409
Spectral Data 725[nm],0.003532743081
Spectral Data 730[nm],0.003212613985
Spectral Data 735[nm],0.002641174244
Spectral Data 740[nm],0.001953344559
Spectral Data 745[nm],0.001422261470
Spectral Data 750[nm],0.001228152425
Spectral Data 755[nm],0.001038305112
Spectral Data 760[nm],0.000545939489
Spectral Data 765[nm],0.001029908191
Spectral Data 770[nm],0.000407404179
Spectral Data 775[nm],0.000031875083
Spectral Data 780[nm],0.000226437973

Spectral Data 380[nm],0.000869778509
Spectral Data 381[nm],0.000853792066
Spectral Data 382[nm],0.000841646164
Spectral Data 383[nm],0.000831639918
Spectral Data 384[nm],0.000824560702
Spectral Data 385[nm],0.000822033267
Spectral Data 386[nm],0.000825683121
Spectral Data 387[nm],0.000836389256
Spectral Data 388[nm],0.000850604847
Spectral Data 389[nm],0.000863157678
Spectral Data 390[nm],0.000868872856
Spectral Data 391[nm],0.000863304536
Spectral Data 392[nm],0.000846750918
Spectral Data 393[nm],0.000821409514
Spectral Data 394[nm],0.000789482729
Spectral Data 395[nm],0.000753200671
Spectral Data 396[nm],0.000714922207
Spectral Data 397[nm],0.000677072327
Spectral Data 398[nm],0.000642078288
Spectral Data 399[nm],0.000612195756
Spectral Data 400[nm],0.000588466937
Spectral Data 401[nm],0.000571361801
Spectral Data 402[nm],0.000561344554
Spectral Data 403[nm],0.000558952568
Spectral Data 404[nm],0.000565337192
Spectral Data 405[nm],0.000581957691
Spectral Data 406[nm],0.000610275485
Spectral Data 407[nm],0.000651428127
Spectral Data 408[nm],0.000703537837
Spectral Data 409[nm],0.000763086951
Spectral Data 410[nm],0.000826541509
Spectral Data 411[nm],0.000890673196
Spectral Data 412[nm],0.000955411349
Spectral Data 413[nm],0.001022547833
Spectral Data 414[nm],0.001093898667
Spectral Data 415[nm],0.001171389828
Spectral Data 416[nm],0.001258211327
Spectral Data 417[nm],0.001358361100
Spectral Data 418[nm],0.001475850353
Spectral Data 419[nm],0.001614634180
Spectral Data 420[nm],0.001777946716
Spectral Data 421[nm],0.001968523255
Spectral Data 422[nm],0.002189088613
Spectral Data 423[nm],0.002442330588
Spectral Data 424[nm],0.002729805186
Spectral Data 425[nm],0.003052248852
Spectral Data 426[nm],0.003410401754
Spectral Data 427[nm],0.003805183107
Spectral Data 428[nm],0.004241438117
Spectral Data 429[nm],0.004727071617
Spectral Data 430[nm],0.005270023830
Spectral Data 431[nm],0.005878194235
Spectral Data 432[nm],0.006558774970
Spectral Data 433[nm],0.007318350021
Spectral Data 434[nm],0.008163484745
Spectral Data 435[nm],0.009100361727
Spectral Data 436[nm],0.010138006881
Spectral Data 437[nm],0.011287953705
Spectral Data 438[nm],0.012561371550
Spectral Data 439[nm],0.013968901709
Spectral Data 440[nm],0.015514700674
Spectral Data 441[nm],0.017195850611
Spectral Data 442[nm],0.019008707255
Spectral Data 443[nm],0.020949291065
Spectral Data 444[nm],0.022996893153
Spectral Data 445[nm],0.025106661022
Spectral Data 446[nm],0.027231853455
Spectral Data 447[nm],0.029325595126
Spectral Data 448[nm],0.031339123845
Spectral Data 449[nm],0.033220883459
Spectral Data 450[nm],0.034918595105
Spectral Data 451[nm],0.036380108446
Spectral Data 452[nm],0.037562273443
Spectral Data 453[nm],0.038442172110
Spectral Data 454[nm],0.039000537246
Spectral Data 455[nm],0.039218079299
Spectral Data 456[nm],0.039089456201
Spectral Data 457[nm],0.038655687124
Spectral Data 458[nm],0.037966839969
Spectral Data 459[nm],0.037072997540
Spectral Data 460[nm],0.036020867527
Spectral Data 461[nm],0.034842506051
Spectral Data 462[nm],0.033566165715
Spectral Data 463[nm],0.032220099121
Spectral Data 464[nm],0.030832689255
Spectral Data 465[nm],0.029433071613
Spectral Data 466[nm],0.028050649911
Spectral Data 467[nm],0.026714824140
Spectral Data 468[nm],0.025452362373
Spectral Data 469[nm],0.024268476292
Spectral Data 470[nm],0.023158263415
Spectral Data 471[nm],0.022116780281
