Date Saved,2025/12/04 20:18:12
Title,SL_100_02°_2889K
% BLUE,13.2527
Viewing Angle [°],2
CCT [K],2889
⊿uv,0.0005
Illuminance [lx],52.2
Peak Wavelength [nm],611
Tristimulus Value X,57.0375
Tristimulus Value Y,52.2302
Tristimulus Value Z,18.6577
CIE1931 x,0.4459
CIE1931 y,0.4083
CIE1931 z,0.1458
CIE1976 u',0.2545
CIE1976 v',0.5244
Dominant Wavelength [nm],583
Purity [%],56.4
PPFD [umolm⁻²s⁻¹],0.7
CRI Ra,81.7
CRI R1,80.2
CRI R2,90.1
CRI R3,97.0
CRI R4,80.2
CRI R5,80.0
CRI R6,88.1
CRI R7,82.1
CRI R8,56.1
CRI R9,0.0
CRI R10,76.5
CRI R11,79.2
CRI R12,70.8
CRI R13,82.6
CRI R14,98.6
CRI R15,72.0
TM-30 Rf,84
TM-30 Rg,96
SSIt,74
SSId,48
SSI1,---
SSI2,---
TLCI,64
TLMF,---
Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 410[nm],0.000001241040
Spectral Data 415[nm],0.000007634034
Spectral Data 420[nm],0.000022037133
Spectral Data 425[nm],0.000051725747
Spectral Data 430[nm],0.000107249180
Spectral Data 435[nm],0.000191540006
Spectral Data 440[nm],0.000292843324
Spectral Data 445[nm],0.000387721462
Spectral Data 450[nm],0.000431037915
Spectral Data 455[nm],0.000398807199
Spectral Data 460[nm],0.000327180285
Spectral Data 465[nm],0.000258396700
Spectral Data 470[nm],0.000205073666
Spectral Data 475[nm],0.000174812623
Spectral Data 480[nm],0.000170956904
Spectral Data 485[nm],0.000189819068
Spectral Data 490[nm],0.000226982069
Spectral Data 495[nm],0.000274210033
Spectral Data 500[nm],0.000322148146
Spectral Data 505[nm],0.000363197178
Spectral Data 510[nm],0.000398552627
Spectral Data 515[nm],0.000428940722
Spectral Data 520[nm],0.000455537433
Spectral Data 525[nm],0.000485705124
Spectral Data 530[nm],0.000523733092
Spectral Data 535[nm],0.000571803015
Spectral Data 540[nm],0.000622718595
Spectral Data 545[nm],0.000658193661
Spectral Data 550[nm],0.000669990201
Spectral Data 555[nm],0.000673194707
Spectral Data 560[nm],0.000696005241
Spectral Data 565[nm],0.000741589465
Spectral Data 570[nm],0.000800919312
Spectral Data 575[nm],0.000865626964
Spectral Data 580[nm],0.000928938214
Spectral Data 585[nm],0.000986302621
Spectral Data 590[nm],0.001029676059
Spectral Data 595[nm],0.001061003306
Spectral Data 600[nm],0.001083171810
Spectral Data 605[nm],0.001114628511
Spectral Data 610[nm],0.001141220564
Spectral Data 615[nm],0.001111637102
Spectral Data 620[nm],0.001033568522
Spectral Data 625[nm],0.000961608312
Spectral Data 630[nm],0.000898965227
Spectral Data 635[nm],0.000823413604
Spectral Data 640[nm],0.000742821197
Spectral Data 645[nm],0.000669376052
Spectral Data 650[nm],0.000600063067
Spectral Data 655[nm],0.000532328500
Spectral Data 660[nm],0.000467870006
Spectral Data 665[nm],0.000408640190
Spectral Data 670[nm],0.000353019801
Spectral Data 675[nm],0.000304867950
Spectral Data 680[nm],0.000262873276
Spectral Data 685[nm],0.000223016948
Spectral Data 690[nm],0.000191575411
Spectral Data 695[nm],0.000167365200
Spectral Data 700[nm],0.000149584448
Spectral Data 705[nm],0.000133998648
Spectral Data 710[nm],0.000115263101
Spectral Data 715[nm],0.000095040385
Spectral Data 720[nm],0.000075210708
Spectral Data 725[nm],0.000062205603
Spectral Data 730[nm],0.000053133761
Spectral Data 735[nm],0.000048809939
Spectral Data 740[nm],0.000039534792
Spectral Data 745[nm],0.000031913034
Spectral Data 750[nm],0.000024031713
Spectral Data 755[nm],0.000026072583
Spectral Data 760[nm],0.000017728829
Spectral Data 765[nm],0.000018599445
Spectral Data 770[nm],0.000012153432
Spectral Data 775[nm],0.000004544954
Spectral Data 780[nm],0.000012561135
Spectral Data 380[nm],0.000000000000
Spectral Data 381[nm],0.000000000000
Spectral Data 382[nm],0.000000000000
Spectral Data 383[nm],0.000000000000
Spectral Data 384[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 386[nm],0.000000000000
Spectral Data 387[nm],0.000000000000
