Date Saved,2025/12/04 20:18:19
Title,SL_106_02°_5662K
% BLUE,30.9018
Viewing Angle [°],2
CCT [K],5662
⊿uv,0.0013
Illuminance [lx],3500
Peak Wavelength [nm],445
Tristimulus Value X,3384.1760
Tristimulus Value Y,3502.6328
Tristimulus Value Z,3404.9512
CIE1931 x,0.3288
CIE1931 y,0.3403
CIE1931 z,0.3308
CIE1976 u',0.2047
CIE1976 v',0.4766
Dominant Wavelength [nm],514
Purity [%],1.5
PPFD [umolm⁻²s⁻¹],48.3
CRI Ra,70.1
CRI R1,70.0
CRI R2,72.8
CRI R3,73.2
CRI R4,72.4
CRI R5,70.8
CRI R6,63.6
CRI R7,77.3
CRI R8,61.2
CRI R9,-22.2
CRI R10,34.0
CRI R11,71.0
CRI R12,43.3
CRI R13,69.0
CRI R14,84.5
CRI R15,64.5
TM-30 Rf,70
TM-30 Rg,97
SSIt,31
SSId,57
SSI1,---
SSI2,---
TLCI,46
TLMF,---
Spectral Data 380[nm],0.000850871031
Spectral Data 385[nm],0.000925938366
Spectral Data 390[nm],0.001025547623
Spectral Data 395[nm],0.001005665166
Spectral Data 400[nm],0.001234325580
Spectral Data 405[nm],0.002240415895
Spectral Data 410[nm],0.004799384158
Spectral Data 415[nm],0.010424574837
Spectral Data 420[nm],0.020604081452
Spectral Data 425[nm],0.035474739969
Spectral Data 430[nm],0.053349293768
Spectral Data 435[nm],0.071215100586
Spectral Data 440[nm],0.084960483015
Spectral Data 445[nm],0.089788533747
Spectral Data 450[nm],0.080735698342
Spectral Data 455[nm],0.060302142054
Spectral Data 460[nm],0.039174631238
Spectral Data 465[nm],0.024710245430
Spectral Data 470[nm],0.016394605860
Spectral Data 475[nm],0.011902797036
Spectral Data 480[nm],0.009869408794
Spectral Data 485[nm],0.009577918798
Spectral Data 490[nm],0.011065767147
Spectral Data 495[nm],0.014471222647
Spectral Data 500[nm],0.019569696859
Spectral Data 505[nm],0.025747368112
Spectral Data 510[nm],0.032429918647
Spectral Data 515[nm],0.038885433227
Spectral Data 520[nm],0.044841613621
Spectral Data 525[nm],0.050461441278
Spectral Data 530[nm],0.055282991379
Spectral Data 535[nm],0.058153662831
